ESV	Root	Lat	Lon	Verses	Comment
Etam 3		31.686465	35.174740	2 Chr 11:6	now Khirbet el Khokh; palestine-family.net/index.php?nav=8-18&cid=17&did=193
Etham		30.467511	32.282767	Ex 13:20, Num 33:6, Num 33:7, Num 33:8	~
Ether	Ashnah	~31.8099	~34.9365	Josh 15:42, Josh 19:7	
Ethiopia		>21.959788	>31.343557	Est 1:1, Est 8:9, Job 28:19	region
Eth-kazin	Dimnah	~32.781808	~35.321364	Josh 19:13	
Euphrates		35.090577	40.427780	Gen 2:14, Gen 15:18, Gen 31:21, Gen 36:37, Ex 23:31, Deut 1:7, Deut 11:24, Josh 1:4, Josh 24:2, 2 Sam 8:3, 2 Sam 10:16, 1 Kgs 4:21, 1 Kgs 4:24, 1 Kgs 14:15, 2 Kgs 23:29, 2 Kgs 24:7, 1 Chr 1:48, 1 Chr 5:9, 1 Chr 18:3, 1 Chr 19:16, 2 Chr 9:26, 2 Chr 35:20, Isa 27:12, Jer 2:18, Jer 13:4, Jer 13:5, Jer 13:6, Jer 13:7, Jer 46:2, Jer 46:6, Jer 46:10, Jer 51:63, Rev 9:14, Rev 16:12	river
Ezem	Baalath-beer	~32.049953	~35.733402	Josh 15:29, Josh 19:3, 1 Chr 4:29	
Ezion-geber		29.75804307645581	35.0306017443078	Num 33:35, Num 33:36, Deut 2:8, 1 Kgs 9:26, 1 Kgs 22:48, 2 Chr 8:17, 2 Chr 20:36	
Fair Havens		34.92138418681769	24.73114125973342	Acts 27:8	
Field of Blood	Jerusalem	~31.777444	~35.234935	Matt 27:8, Acts 1:19	
Fish Gate	Jerusalem	<31.777444	<35.234935	2 Chr 33:14, Neh 3:3, Neh 12:39, Zeph 1:10	
Forum of Appius		41.468706	12.993929	Acts 28:15	http://gnswww.nga.mil/geonames/Gazetteer/Search/Results.jsp?Feature__Unique_Feature_ID=-117178&Diacritics=Yes&reload=1
Fountain Gate	Jerusalem	<31.777444	<35.234935	Neh 2:14, Neh 3:15, Neh 12:37	
Gaash	Timnath-heres	~32.121473	~35.150392	Josh 24:30, Judg 2:9, 2 Sam 23:30, 1 Chr 11:32	
Gabbatha	Jerusalem	~31.777444	~35.234935	John 19:13	
Galatia	Lystra	>37.57813498250009	>32.45318282875567	Acts 16:6, Acts 18:23, 1 Cor 16:1, Gal 1:2, 2 Tim 4:10, 1 Pet 1:1	
Galeed	Ramoth-gilead	32.56526757366849	36.00555930879645	Gen 31:47, Gen 31:48	
Galilee	Nazareth	>32.70674542474383	>35.30152807767973	Josh 12:23, Josh 20:7, Josh 21:32, 1 Kgs 9:11, 2 Kgs 15:29, 1 Chr 6:76, Isa 9:1, Matt 2:22, Matt 3:13, Matt 4:12, Matt 4:15, Matt 4:23, Matt 4:25, Matt 17:22, Matt 19:1, Matt 21:11, Matt 26:32, Matt 27:55, Matt 28:7, Matt 28:10, Matt 28:16, Mark 1:9, Mark 1:14, Mark 1:28, Mark 1:39, Mark 3:7, Mark 6:21, Mark 9:30, Mark 14:28, Mark 15:41, Mark 16:7, Luke 1:26, Luke 2:4, Luke 2:39, Luke 3:1, Luke 4:14, Luke 4:31, Luke 5:17, Luke 8:26, Luke 17:11, Luke 23:5, Luke 23:49, Luke 23:55, Luke 24:6, John 1:43, John 2:1, John 2:11, John 4:3, John 4:43, John 4:45, John 4:46, John 4:47, John 4:54, John 7:1, John 7:9, John 7:41, John 7:52, John 12:21, John 21:2, Acts 1:11, Acts 9:31, Acts 10:37, Acts 13:31	region
Gallim		31.816667	35.250000	1 Sam 25:44, Isa 10:30	~; from tyndale
Gamad	Arvad	~34.856082	~35.858485	Ezek 27:11	
Gareb	Jerusalem	<31.777444	<35.234935	Jer 31:39	
Gate of Benjamin	Jerusalem	<31.777444	<35.234935	Zech 14:10	
Gate of Ephraim	Jerusalem	<31.777444	<35.234935	Neh 8:16, Neh 12:39	
Gate of Yeshanah	Jerusalem	<31.777444	<35.234935	Neh 3:6, Neh 12:39	
Gate of the Foundation	Jerusalem	<31.777444	<35.234935	2 Chr 23:5	
Gate of the Guard	Jerusalem	<31.777444	<35.234935	Neh 12:39	
Gath		31.69352950368834	34.84388288576839	Josh 11:22, Josh 13:3, 1 Sam 5:8, 1 Sam 6:17, 1 Sam 7:14, 1 Sam 17:4, 1 Sam 17:23, 1 Sam 17:52, 1 Sam 21:10, 1 Sam 21:12, 1 Sam 27:2, 1 Sam 27:3, 1 Sam 27:4, 1 Sam 27:11, 2 Sam 1:20, 2 Sam 15:18, 2 Sam 21:20, 2 Sam 21:22, 1 Kgs 2:39, 1 Kgs 2:40, 1 Kgs 2:41, 2 Kgs 12:17, 1 Chr 7:21, 1 Chr 8:13, 1 Chr 18:1, 1 Chr 20:6, 1 Chr 20:8, 2 Chr 11:8, 2 Chr 26:6, Ps 56:1, Amos 6:2, Mic 1:10	
Gath-hepher		32.73918470119603	35.32822661816711	Josh 19:13, 2 Kgs 14:25	
Gath-rimmon 1		32.06972222222223	34.88305555555556	Josh 19:45, Josh 21:24, 1 Chr 6:69	
Gath-rimmon 2	Ibleam	32.45	35.2833	Josh 21:25	
Gaza		31.52481769532773	34.4333647185274	Gen 10:19, Deut 2:23, Josh 10:41, Josh 11:22, Josh 13:3, Josh 15:47, Judg 1:18, Judg 6:4, Judg 16:1, Judg 16:21, 1 Sam 6:17, 1 Kgs 4:24, 2 Kgs 18:8, Jer 25:20, Jer 47:1, Jer 47:5, Amos 1:6, Amos 1:7, Zeph 2:4, Zech 9:5, Acts 8:26	
Geba 1		31.85787804122625	35.25975521608824	Josh 18:24, Josh 21:17, 1 Sam 13:3, 1 Sam 13:16, 1 Sam 14:5, 1 Kgs 15:22, 2 Kgs 23:8, 1 Chr 6:60, 1 Chr 8:6, 2 Chr 16:6, Ezra 2:26, Neh 7:30, Neh 11:31, Neh 12:29, Isa 10:29, Zech 14:10	
Geba 2	Gibeon	31.84684772753698	35.18491237777512	2 Sam 5:25	
Gebal		34.11910360710159	35.6461419556213	1 Kgs 5:18, Ps 83:7, Ezek 27:9	
Gebim		31.800000	35.250000	Isa 10:31	~
Geder	Gedor 1	31.633330	35.083333	Josh 12:13	
Gederah		31.823337	34.777779	Josh 15:36, 1 Chr 4:23, 1 Chr 12:4	
Gederoth	Gederah	~31.823337	~34.777779	Josh 15:41, 2 Chr 28:18	
Gederothaim	Gederah	~31.823337	~34.777779	Josh 15:36	
Gedor 1		31.633330	35.083333	Josh 15:58, 1 Chr 12:7	
Gedor 2	Gederah	~31.823337	~34.777779	1 Chr 4:39	
Geliloth	Gilgal 1	31.86378328132916	35.51854651224448	Josh 18:17	
Gennesaret		32.85935860372527	35.50993742021974	Matt 14:34, Mark 6:53, Luke 5:1	
Gerar		31.39129109635703	34.56057015639144	Gen 10:19, Gen 20:1, Gen 20:2, Gen 26:1, Gen 26:6, Gen 26:20, Gen 26:26, 2 Chr 14:13, 2 Chr 14:14	
Geruth Chimham	Bethlehem 1	~31.70536129174666	~35.21026630105202	Jer 41:17	
Geshur		33.000000	36.416670	Josh 13:13, 2 Sam 3:3, 2 Sam 13:37, 2 Sam 13:38, 2 Sam 14:23, 2 Sam 14:32, 2 Sam 15:8, 1 Chr 2:23, 1 Chr 3:2	~; now Leja
Gethsemane	Jerusalem	~31.777444	~35.234935	Matt 26:36, Mark 14:32	
Gezer		31.87611111111111	34.9225	Josh 10:33, Josh 12:12, Josh 16:3, Josh 16:10, Josh 21:21, Judg 1:29, 2 Sam 5:25, 1 Kgs 9:15, 1 Kgs 9:16, 1 Kgs 9:17, 1 Chr 6:67, 1 Chr 7:28, 1 Chr 14:16, 1 Chr 20:4	
Giah	Ammah	~31.869005	~35.343177	2 Sam 2:24	
Gibbethon		31.976623	35.004896	Josh 19:44, Josh 21:23, 1 Kgs 15:27, 1 Kgs 16:15, 1 Kgs 16:17	now Qibya
Gibeah 1		31.82378102460309	35.23100936128631	Josh 18:28, Josh 24:33, Judg 19:12, Judg 19:13, Judg 19:14, Judg 19:15, Judg 19:16, Judg 20:4, Judg 20:5, Judg 20:9, Judg 20:10, Judg 20:13, Judg 20:14, Judg 20:15, Judg 20:19, Judg 20:20, Judg 20:21, Judg 20:25, Judg 20:29, Judg 20:30, Judg 20:31, Judg 20:34, Judg 20:36, Judg 20:37, Judg 20:43, 1 Sam 10:10, 1 Sam 10:26, 1 Sam 11:4, 1 Sam 13:2, 1 Sam 13:15, 1 Sam 14:2, 1 Sam 14:16, 1 Sam 15:34, 1 Sam 22:6, 1 Sam 23:19, 1 Sam 26:1, 2 Sam 21:6, 2 Sam 23:29, 1 Chr 11:31, 1 Chr 12:3, Isa 10:29, Hos 5:8, Hos 9:9, Hos 10:9	
Gibeah 2	Carmel	~31.43333151674604	~35.13333188530802	Josh 15:57, 2 Chr 13:2	
Gibeath-elohim	Bethel 1	~31.93053920580005	~35.22103274923676	1 Sam 10:5	
Gibeath-haaraloth	Gilgal 1	31.86378328132916	35.51854651224448	Josh 5:3	
Gibeon		31.84684772753698	35.18491237777512	Josh 9:3, Josh 9:17, Josh 10:1, Josh 10:2, Josh 10:4, Josh 10:5, Josh 10:6, Josh 10:10, Josh 10:12, Josh 10:41, Josh 11:19, Josh 18:25, Josh 21:17, 2 Sam 2:12, 2 Sam 2:13, 2 Sam 2:16, 2 Sam 2:24, 2 Sam 3:30, 2 Sam 20:8, 1 Kgs 3:4, 1 Kgs 3:5, 1 Kgs 9:2, 1 Chr 6:60, 1 Chr 8:29, 1 Chr 9:35, 1 Chr 12:4, 1 Chr 14:16, 1 Chr 16:39, 1 Chr 21:29, 2 Chr 1:3, 2 Chr 1:13, Neh 3:7, Neh 7:25, Jer 28:1, Jer 41:12, Jer 41:16	
Gidom	Rimmon 1	~31.934660	~35.297063	Judg 20:45	
Gihon 1		?	?	Gen 2:13	
Gihon 2		31.773116	35.237186	1 Kgs 1:33, 1 Kgs 1:38, 1 Kgs 1:45, 2 Chr 32:30, 2 Chr 33:14	
Gilboa		32.516667	35.400000	1 Sam 28:4, 2 Sam 1:21, 2 Sam 21:12	
Gilead		>32.042523	>35.724241	Gen 31:21, Gen 31:23, Gen 31:25, Gen 37:25, Num 32:1, Num 32:26, Num 32:29, Num 32:39, Num 32:40, Deut 2:36, Deut 3:10, Deut 3:12, Deut 3:13, Deut 3:15, Deut 3:16, Deut 4:43, Deut 34:1, Josh 12:2, Josh 12:5, Josh 13:11, Josh 13:25, Josh 13:31, Josh 17:1, Josh 17:5, Josh 17:6, Josh 20:8, Josh 21:38, Josh 22:9, Josh 22:13, Josh 22:15, Josh 22:32, Judg 5:17, Judg 10:4, Judg 10:8, Judg 10:17, Judg 10:18, Judg 11:5, Judg 11:7, Judg 11:8, Judg 11:9, Judg 11:10, Judg 11:11, Judg 11:29, Judg 12:4, Judg 12:5, Judg 12:7, Judg 20:1, 1 Sam 13:7, 2 Sam 2:9, 2 Sam 17:26, 2 Sam 24:6, 1 Kgs 4:13, 1 Kgs 4:19, 1 Kgs 17:1, 2 Kgs 10:33, 2 Kgs 15:25, 2 Kgs 15:29, 1 Chr 2:22, 1 Chr 5:9, 1 Chr 5:10, 1 Chr 5:16, 1 Chr 6:80, 1 Chr 26:31, 1 Chr 27:21, Ps 60:7, Ps 108:8, Sng 4:1, Sng 6:5, Jer 8:22, Jer 22:6, Jer 46:11, Jer 50:19, Ezek 47:18, Hos 6:8, Hos 12:11, Amos 1:3, Amos 1:13, Obad 1:19, Mic 7:14, Zech 10:10	region
Gilgal 1		31.86378328132916	35.51854651224448	Deut 11:30, Josh 4:19, Josh 4:20, Josh 5:9, Josh 5:10, Josh 9:6, Josh 10:6, Josh 10:7, Josh 10:9, Josh 10:15, Josh 10:43, Josh 14:6, Josh 15:7, Judg 2:1, Judg 3:19, 1 Sam 7:16, 1 Sam 10:8, 1 Sam 11:14, 1 Sam 11:15, 1 Sam 13:4, 1 Sam 13:7, 1 Sam 13:8, 1 Sam 13:12, 1 Sam 13:15, 1 Sam 15:12, 1 Sam 15:21, 1 Sam 15:33, 2 Sam 19:15, 2 Sam 19:40, Hos 4:15, Hos 9:15, Hos 12:11, Amos 4:4, Amos 5:5, Mic 6:5	
Gilgal 2		32.029737	35.222604	2 Kgs 2:1, 2 Kgs 4:38	
Gilo	Giloh	31.616667	35.083333	2 Sam 23:34	
Giloh		31.616667	35.083333	Josh 15:51, 2 Sam 15:12	~
Gimzo		31.928659	34.943219	2 Chr 28:18	
Gittaim	Hadid	~31.963575	~34.952536	2 Sam 4:3, Neh 11:33	
Goah	Jerusalem	<31.777444	<35.234935	Jer 31:39	
Gob	Gezer	31.87611111111111	34.9225	2 Sam 21:18, 2 Sam 21:19	
Gog		>46	>47	Rev 20:8	region
Goiim		?	?	Gen 14:1, Gen 14:9, Josh 12:23	
Golan		32.80007552505443	35.93730130476259	Deut 4:43, Josh 20:8, Josh 21:27, 1 Chr 6:71	
Golgotha	Jerusalem	<31.777444	<35.234935	Matt 27:33, Mark 15:22, John 19:17	
Gomer		?		Ezek 38:6	
Gomorrah		31.15724866533878	35.4739543300078	Gen 10:19, Gen 13:10, Gen 14:2, Gen 14:8, Gen 14:10, Gen 14:11, Gen 18:20, Gen 19:24, Gen 19:28, Deut 29:23, Deut 32:32, Isa 1:9, Isa 1:10, Isa 13:19, Jer 23:14, Jer 49:18, Jer 50:40, Amos 4:11, Zeph 2:9, Matt 10:15, Rom 9:29, 2 Pet 2:6, Jude 1:7	
Goshen 1		30.72850163814402	31.80469223616506	Gen 45:10, Gen 46:28, Gen 46:29, Gen 46:34, Gen 47:1, Gen 47:4, Gen 47:6, Gen 47:27, Gen 50:8, Ex 8:22, Ex 9:26	
Goshen 2		31.450000	34.916667	Josh 10:41, Josh 11:16, Josh 15:51	~; from harper
Gozan		36.840013	40.068890	2 Kgs 17:6, 2 Kgs 18:11, 2 Kgs 19:12, 1 Chr 5:26, Isa 37:12	from harper
Great Sea		>33.24	>33.47	Num 34:6, Num 34:7, Josh 1:4, Josh 9:1, Josh 15:12, Josh 15:47, Josh 23:4, Ezek 47:10, Ezek 47:15, Ezek 47:19, Ezek 47:20, Ezek 48:28	sea
Great Sidon	Sidon	33.56316734135746	35.36634649354799	Josh 11:8	
Greece	Athens	>37.98333333333333	>23.73333333333333	Dan 8:21, Dan 10:20, Dan 11:2, Zech 9:13, Acts 20:2	region
Gudgodah	Hor-haggidgad	30.358285?	35.190270?	Deut 10:7	
Gur	Ibleam	~32.45	~35.2833	2 Kgs 9:27	
Gurbaal	Bozrah 1	~>30.734691	~>35.606250	2 Chr 26:7	
Habor		36.344972	40.789333	2 Kgs 17:6, 2 Kgs 18:11, 1 Chr 5:26	river
Hachilah		31.466604	35.216691	1 Sam 23:19, 1 Sam 26:1, 1 Sam 26:3	?; now Zahrat al Kula
Hadad-rimmon		32.524106	35.205136	Zech 12:11	now Rommanah
Hadashah		31.679512	34.695903	Josh 15:37	now Ibdis
Hadid		31.963575	34.952536	Ezra 2:33, Neh 7:37, Neh 11:34	
Hadrach	Damascus	~33.519299	~36.31344999999999	Zech 9:1	
Haeleph		31.792733	35.196862	Josh 18:28	now Lifta
Hahiroth	Pi-hahiroth	29.94658?	32.425144?	Num 33:8	from tyndale
Hakkephirim	Ono	32.02222222222223	34.86666666666667	Neh 6:2	
Halah	Habor	~36.344972	~40.789333	2 Kgs 17:6, 2 Kgs 18:11, 1 Chr 5:26	
Halhul		31.579549	35.099103	Josh 15:58	
Hali	Beten	~32.934736	~35.270799	Josh 19:25	
Hall of Judgment	Jerusalem	<31.777444	<35.234935	1 Kgs 7:7	
Hall of Pillars	Jerusalem	<31.777444	<35.234935	1 Kgs 7:6	
Hall of the Throne	Jerusalem	<31.777444	<35.234935	1 Kgs 7:7	
Ham 1	Ammon	31.95018855468469	35.92413135872749	Gen 14:5	
Ham 2	On	>30.108086	>31.338220	Ps 105:23, Ps 105:27, Ps 106:22	
Hamath		35.136204	36.749488	2 Sam 8:9, 2 Kgs 14:28, 2 Kgs 17:24, 2 Kgs 17:30, 2 Kgs 18:34, 2 Kgs 19:13, 2 Kgs 23:33, 2 Kgs 25:21, 1 Chr 18:9, 2 Chr 8:4, Isa 10:9, Isa 11:11, Isa 36:19, Isa 37:13, Jer 39:5, Jer 49:23, Jer 52:9, Jer 52:27, Ezek 47:16, Ezek 47:17, Ezek 48:1, Amos 6:2, Zech 9:2	
Hamath-zobah	Hamath	35.136204	36.749488	2 Chr 8:3	
Hammath		33.125828	35.165000	Josh 19:35, 1 Chr 2:55	
Hammon	Hammath	33.125828	35.165000	Josh 19:28, 1 Chr 6:76	
Hammoth-dor	Hammath	33.125828	35.165000	Josh 21:32	
Hamonah	Dibon 1	~31.49684513710609	~35.78284105296996	Ezek 39:16	
Hanes		29.085425	30.934402	Isa 30:4	http://www.digitalegypt.ucl.ac.uk/ehnasya/index.html
Hannathon		32.916002	35.426637	Josh 19:14	
Hapharaim	Ophrah 2	32.60868269540592	35.28826433084549	Josh 19:19	?
Hara	Habor	~36.344972	~40.789333	1 Chr 5:26	
Haradah	Mount Hor 1	~30.317396	~35.407152	Num 33:24, Num 33:25	
Haran		36.86386407659651	39.03219672227345	Gen 11:31, Gen 11:32, Gen 12:4, Gen 12:5, Gen 27:43, Gen 28:10, Gen 29:4, 2 Kgs 19:12, Isa 37:12, Ezek 27:23, Acts 7:2, Acts 7:4	
Harmon	Samaria	~32.28023100000001	~35.19792900000002	Amos 4:3	
Harod		32.549638	35.355647	Judg 7:1, 2 Sam 23:25, 1 Chr 11:27	now Ein Harod
Harosheth-hagoyim		32.691177	35.110039	Judg 4:2, Judg 4:13, Judg 4:16	
Hashmonah	Mount Hor 1	~30.317396	~35.407152	Num 33:29, Num 33:30	
Hauran	Golan	>32.80007552505443	>35.93730130476259	Ezek 47:16, Ezek 47:18	region
Havilah 1		?	?	Gen 2:11	
Havilah 2		>30.14	>35.22	Gen 25:18, 1 Sam 15:7	
Havvoth-jair	Gilead	~>32.042523	~>35.724241	Num 32:41, Deut 3:14, Judg 10:4, 1 Chr 2:23	
Hazar-addar	Addar	~30.9522	~34.7187	Num 34:4	
Hazar-enan		34.229499	37.240077	Num 34:9, Num 34:10, Ezek 47:17, Ezek 48:1	now Al Qaryatayn
Hazar-gaddah	Moladah	~31.162327	~35.057114	Josh 15:27	
Hazar-shual		31.215418	34.942986	Josh 15:28, Josh 19:3, 1 Chr 4:28, Neh 11:27	
Hazar-susah	Madmannah	~31.391668	~34.940502	Josh 19:5	
Hazar-susim	Madmannah	~31.391668	~34.940502	1 Chr 4:31	
Hazazon-tamar	Engedi	31.46152536164766	35.39241108242345	Gen 14:7, 2 Chr 20:2	
Hazer-hatticon	Hamath	~35.136204	~36.749488	Ezek 47:16	
Hazeroth		28.916667	34.500000	Num 11:35, Num 12:16, Num 33:17, Num 33:18, Deut 1:1	~
Hazor 1		33.01718199667929	35.56804856758258	Josh 11:1, Josh 11:10, Josh 11:11, Josh 11:13, Josh 12:19, Josh 19:36, Judg 4:2, Judg 4:17, 1 Sam 12:9, 1 Kgs 9:15, 2 Kgs 15:29	
Hazor 2	Kadesh-barnea	~30.68771281376111	~34.49479554246946	Josh 15:23	
Hazor 3	Moladah	~31.162327	~35.057114	Josh 15:25	
Hazor 4		~31.833333	~35.20000	Neh 11:33	
Hazor 5		?	?	Jer 49:28, Jer 49:30, Jer 49:33	
Hazor-hadattah	Moladah	~31.162327	~35.057114	Josh 15:25	
Hebron		31.53577362133176	35.09409986578734	Gen 13:18, Gen 23:2, Gen 23:19, Gen 35:27, Num 13:22, Josh 10:3, Josh 10:5, Josh 10:23, Josh 10:36, Josh 10:39, Josh 11:21, Josh 12:10, Josh 14:13, Josh 14:14, Josh 14:15, Josh 15:13, Josh 15:54, Josh 20:7, Josh 21:11, Josh 21:13, Judg 1:10, Judg 1:20, Judg 16:3, 1 Sam 30:31, 2 Sam 2:1, 2 Sam 2:3, 2 Sam 2:11, 2 Sam 2:32, 2 Sam 3:2, 2 Sam 3:5, 2 Sam 3:19, 2 Sam 3:20, 2 Sam 3:22, 2 Sam 3:27, 2 Sam 3:32, 2 Sam 4:1, 2 Sam 4:8, 2 Sam 4:12, 2 Sam 5:1, 2 Sam 5:3, 2 Sam 5:5, 2 Sam 5:13, 2 Sam 15:7, 2 Sam 15:9, 2 Sam 15:10, 1 Kgs 2:11, 1 Chr 3:1, 1 Chr 3:4, 1 Chr 6:55, 1 Chr 6:57, 1 Chr 11:1, 1 Chr 11:3, 1 Chr 12:23, 1 Chr 12:38, 1 Chr 29:27, 2 Chr 11:10	
Helam	Peniel	~32.1843727808126	~35.70287002746794	2 Sam 10:16, 2 Sam 10:17	
Helbah	Aphek 1	~34.066067	~35.865801	Judg 1:31	
Helbon		33.664912	36.248576	Ezek 27:18	now Halbon
Helech	Arvad	~34.856082	~35.858485	Ezek 27:11	
Heleph		33.134416	35.332157	Josh 19:33	
Heliopolis	On	30.108086	31.338220	Jer 43:13	
Helkath		32.955448	35.211971	Josh 19:25, Josh 21:31	
Helkath-hazzurim		31.880126	35.280188	2 Sam 2:16	
Hena		34.467725	41.964955	2 Kgs 18:34, 2 Kgs 19:13, Isa 37:13	
Hepher		32.3667	34.8833	Josh 12:17, 1 Kgs 4:10	
Heres	Succoth 1	~32.19998298531073	~35.63331303389634	Judg 8:13	
Hereth		31.621492	35.029273	1 Sam 22:5	
Hermon	Mount Hermon	33.41615982399708	35.85725617635589	Deut 3:9, Deut 4:48, Josh 11:3, Ps 42:6, Ps 89:12, Ps 133:3, Sng 4:8	
Heshbon		31.80052000870321	35.80901866717255	Num 21:25, Num 21:26, Num 21:27, Num 21:28, Num 21:30, Num 21:34, Num 32:3, Num 32:37, Deut 1:4, Deut 2:24, Deut 2:26, Deut 2:30, Deut 3:2, Deut 3:6, Deut 4:46, Deut 29:7, Josh 9:10, Josh 12:2, Josh 12:5, Josh 13:10, Josh 13:17, Josh 13:21, Josh 13:26, Josh 13:27, Josh 21:39, Judg 11:19, Judg 11:26, 1 Chr 6:81, Neh 9:22, Sng 7:4, Isa 15:4, Isa 16:8, Isa 16:9, Jer 48:2, Jer 48:34, Jer 48:45, Jer 49:3	
Heshmon	Hazar-shual	~31.215418	~34.942986	Josh 15:27	
Hethlon		34.737990	36.340918	Ezek 47:15, Ezek 48:1	~
Hezron	Hazor 1	33.01718199667929	35.56804856758258	Josh 15:3	
Hierapolis		37.924517	29.124525	Col 4:13	
Hilen	Holon 1	31.583333	34.950000	1 Chr 6:58	
Hobah		33.500000	36.466667	Gen 14:15	
Holon 1		31.583333	34.950000	Josh 15:51, Josh 21:15	~
Holon 2	Jahaz	~31.50100308502659	~35.92063125199366	Jer 48:21	
